$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P0;P max
AVELGEM;RUIEN;Gas;B;E001;380;175,8;879;879
BRUEGEL;SYRAL;Gas;B;E001;380;3,6;48;66
COO;COO;Pumpspeicher;B;E003;380;-1035;1164;1164
DOEL;KALLO;Gas;B;E001;380;8,6;3555;3685
DROGENBOS;DROGENBOS;Gas;B;E001;380;3,6;538;556
EEKLO;HERDERSBRUG;Gas;B;E001;380;3,6;500;554
GOUY;BAUDOUR;Gas;B;E001;380;70;152,9215;770
HOUFFALIZE;CIERREUX;Öl;B;E001;220;3,4;0;17
IZEGEM;IZEGEM;Gas;B;E001;380;3,6;0;141
JUPILLE;MONSIN 1;Gas;B;E001;220;3,4;0;91
LIXHE;SAPPI;Gas;B;E001;380;8,6;556;599
MASSENHOVEN;MOL 13;Gas;B;E001;380;6;0;62
MEERHOUT;GEEL AMOCO;Gas;B;E001;380;8,6;0;463
MERCATOR;OUDEGEM;Gas;B;E001;380;2,9;0;38
MONCEAU;MARCINELLE;Gas;B;E001;220;-144;144;554
RODENHUIZE;RODENHUIZE 1;Gas;B;E001;380;3,6;1157;1569
SERAING;SERAING;Gas;B;E001;220;47,6;0;688
TERGNEE;JEMEPPE-SOLVAY;Gas;B;E001;380;18,8;0;94
TIHANGE;TIHANGE;KKW;B;E001;380;2111,2;3016;3016
V. BRUG;V. BRUG;Gas;B;E001;380;77;0;385
ZANDVLIET;ZANDVLIET;GuD;B;E001;380;79;0;395
ALBRECHTICE;DETMAROVICE;Braunkohle;C;E001;380;88,815;1140;1140
CHOMUTOV;KOMORANY;Braunkohle;C;E001;220;83,715;280;280
CHOTEJOVICE;LEDVICE;Braunkohle;C;E001;220;204,615;683;683
CHRAST;PLZEN SKODA;Braunkohle;C;E001;380;39,915;134;134
CHVALETICE;CHVALETICE;Braunkohle;C;E001;380;252,615;843;843
DALESICE;DALESICE;Pumpspeicher;C;E003;380;-450;487;487
DASNY;LIPNO;Wasserspeicher;C;E003;380;0;128;128
DLOUHE STRANE;DLOUHE STRANE;Pumpspeicher;C;E003;380;-624;657;657
DUKOVANY;DUKOVANY;KKW;C;E001;380;1275,4;1822;1822
HRADEC ZAPAD;KLADNO;Braunkohle;C;E001;380;142,515;0;476
KOCIN;HRACHOLUSKY;Wasserspeicher;C;E003;380;-1,91;18;18
KRASIKOV;PASTVINY;Pumpspeicher;C;E003;380;-3;10;10
MELNIK;MELNIK;Braunkohle;C;E001;380;36,615;946,89;1238
NEZNASOV;OPATOVICE;Braunkohle;C;E001;380;62,115;0;614
OPOCINEK;PRACOV;Wasserspeicher;C;E003;220;0;17;17
POCERADY;POCERADY;Braunkohle;C;E001;380;372,615;0;1243
PROSENICE;MORAVSKE;Braunkohle;C;E001;380;24,615;0;293
PRUNEROV;PRUNEROV;Braunkohle;C;E001;380;525,615;0;1753
SOKOLNICE;HODONIN;Braunkohle;C;E001;380;0;10;163
TEMELIN;TEMELIN;KKW;C;E001;380;1309;1870;1870
TISOVA;TISOVA;Braunkohle;C;E001;220;162,615;0;543
