Nr.;Von;Nach;Pmax;NNF_Pmax;Pmin;NNF_Pmin;NNF_1;NNF_2;NNF_3;NNF_4;NNF_5;NNF_6;NNF_7;NNF_8;NNF_9
1;B;B;0;1;0;1;0;0;0;0;0;0;0;0;0
2;B;DK_O;0;1;0;1;0;0;0;0;0;0;0;0;0
3;B;DK_W;0;1;0;1;0;0;0;0;0;0;0;0;0
4;B;F;-800;1;-800;1;-800;-800;-800;-800;-800;-800;-800;-800;-800
5;B;N;946;1;946;1;946;946;946;946;946;946;946;946;946
6;B;O;0;1;0;1;0;0;0;0;0;0;0;0;0
7;B;Z;0;1;0;1;0;0;0;0;0;0;0;0;0
8;B;S;0;1;0;1;0;0;0;0;0;0;0;0;0
9;B;C;0;1;0;1;0;0;0;0;0;0;0;0;0
10;B;D;0;1;0;1;0;0;0;0;0;0;0;0;0
11;DK_O;B;0;1;0;1;0;0;0;0;0;0;0;0;0
12;DK_O;DK_O;0;1;0;1;0;0;0;0;0;0;0;0;0
13;DK_O;DK_W;-600;1;-600;1;-600;-600;-600;-600;-600;-600;-600;-600;-600
14;DK_O;F;0;1;0;1;0;0;0;0;0;0;0;0;0
15;DK_O;N;0;1;0;1;0;0;0;0;0;0;0;0;0
16;DK_O;O;0;1;0;1;0;0;0;0;0;0;0;0;0
17;DK_O;Z;0;1;0;1;0;0;0;0;0;0;0;0;0
18;DK_O;S;0;1;0;1;0;0;0;0;0;0;0;0;0
19;DK_O;C;0;1;0;1;0;0;0;0;0;0;0;0;0
20;DK_O;D;-585;1;-585;1;-585;-585;-585;-585;-585;-585;-585;-585;-585
21;DK_W;B;0;1;0;1;0;0;0;0;0;0;0;0;0
22;DK_W;DK_O;600;1;600;1;600;600;600;600;600;600;600;600;600
23;DK_W;DK_W;0;1;0;1;0;0;0;0;0;0;0;0;0
24;DK_W;F;0;1;0;1;0;0;0;0;0;0;0;0;0
25;DK_W;N;0;1;0;1;0;0;0;0;0;0;0;0;0
26;DK_W;O;0;1;0;1;0;0;0;0;0;0;0;0;0
27;DK_W;Z;0;1;0;1;0;0;0;0;0;0;0;0;0
28;DK_W;S;0;1;0;1;0;0;0;0;0;0;0;0;0
29;DK_W;C;0;1;0;1;0;0;0;0;0;0;0;0;0
30;DK_W;D;150;1;-150;2;150;-150;150;150;150;-150;150;150;150
31;F;B;800;1;800;1;800;800;800;800;800;800;800;800;800
32;F;DK_O;0;1;0;1;0;0;0;0;0;0;0;0;0
33;F;DK_W;0;1;0;1;0;0;0;0;0;0;0;0;0
34;F;F;0;1;0;1;0;0;0;0;0;0;0;0;0
35;F;N;0;1;0;1;0;0;0;0;0;0;0;0;0
36;F;O;0;1;0;1;0;0;0;0;0;0;0;0;0
37;F;Z;0;1;0;1;0;0;0;0;0;0;0;0;0
38;F;S;-3100;1;-3100;1;-3100;-3100;-3100;-3100;-3100;-3100;-3100;-3100;-3100
39;F;C;0;1;0;1;0;0;0;0;0;0;0;0;0
40;F;D;2500;1;2500;1;2500;2500;2500;2500;2500;2500;2500;2500;2500
41;N;B;-946;1;-946;1;-946;-946;-946;-946;-946;-946;-946;-946;-946
42;N;DK_O;0;1;0;1;0;0;0;0;0;0;0;0;0
43;N;DK_W;0;1;0;1;0;0;0;0;0;0;0;0;0
44;N;F;0;1;0;1;0;0;0;0;0;0;0;0;0
45;N;N;0;1;0;1;0;0;0;0;0;0;0;0;0
46;N;O;0;1;0;1;0;0;0;0;0;0;0;0;0
47;N;Z;0;1;0;1;0;0;0;0;0;0;0;0;0
48;N;S;0;1;0;1;0;0;0;0;0;0;0;0;0
49;N;C;0;1;0;1;0;0;0;0;0;0;0;0;0
50;N;D;-3000;1;-3000;1;-3000;-3000;-3000;-3000;-3000;-3000;-3000;-3000;-3000
51;O;B;0;1;0;1;0;0;0;0;0;0;0;0;0
52;O;DK_O;0;1;0;1;0;0;0;0;0;0;0;0;0
53;O;DK_W;0;1;0;1;0;0;0;0;0;0;0;0;0
54;O;F;0;1;0;1;0;0;0;0;0;0;0;0;0
55;O;N;0;1;0;1;0;0;0;0;0;0;0;0;0
56;O;O;0;1;0;1;0;0;0;0;0;0;0;0;0
57;O;Z;0;1;0;1;0;0;0;0;0;0;0;0;0
58;O;S;1200;1;1200;1;1200;1200;1200;1200;1200;1200;1200;1200;1200
59;O;C;800;1;800;1;800;800;800;800;800;800;800;800;800
60;O;D;2200;1;2200;1;2200;2200;2200;2200;2200;2200;2200;2200;2200
61;Z;B;0;1;0;1;0;0;0;0;0;0;0;0;0
62;Z;DK_O;0;1;0;1;0;0;0;0;0;0;0;0;0
63;Z;DK_W;0;1;0;1;0;0;0;0;0;0;0;0;0
64;Z;F;0;1;0;1;0;0;0;0;0;0;0;0;0
65;Z;N;0;1;0;1;0;0;0;0;0;0;0;0;0
66;Z;O;0;1;0;1;0;0;0;0;0;0;0;0;0
67;Z;Z;0;1;0;1;0;0;0;0;0;0;0;0;0
68;Z;S;0;1;0;1;0;0;0;0;0;0;0;0;0
69;Z;C;-1800;1;-1800;1;-1800;-1800;-1800;-1800;-1800;-1800;-1800;-1800;-1800
70;Z;D;-1100;1;-1100;1;-1100;-1100;-1100;-1100;-1100;-1100;-1100;-1100;-1100
71;S;B;0;1;0;1;0;0;0;0;0;0;0;0;0
72;S;DK_O;0;1;0;1;0;0;0;0;0;0;0;0;0
73;S;DK_W;0;1;0;1;0;0;0;0;0;0;0;0;0
74;S;F;3100;1;3100;1;3100;3100;3100;3100;3100;3100;3100;3100;3100
75;S;N;0;1;0;1;0;0;0;0;0;0;0;0;0
76;S;O;-1200;1;-1200;1;-1200;-1200;-1200;-1200;-1200;-1200;-1200;-1200;-1200
77;S;Z;0;1;0;1;0;0;0;0;0;0;0;0;0
78;S;S;0;1;0;1;0;0;0;0;0;0;0;0;0
79;S;C;0;1;0;1;0;0;0;0;0;0;0;0;0
80;S;D;1500;1;1500;1;1500;1500;1500;1500;1500;1500;1500;1500;1500
81;C;B;0;1;0;1;0;0;0;0;0;0;0;0;0
82;C;DK_O;0;1;0;1;0;0;0;0;0;0;0;0;0
83;C;DK_W;0;1;0;1;0;0;0;0;0;0;0;0;0
84;C;F;0;1;0;1;0;0;0;0;0;0;0;0;0
85;C;N;0;1;0;1;0;0;0;0;0;0;0;0;0
86;C;O;-800;1;-800;1;-800;-800;-800;-800;-800;-800;-800;-800;-800
87;C;Z;1800;1;1800;1;1800;1800;1800;1800;1800;1800;1800;1800;1800
88;C;S;0;1;0;1;0;0;0;0;0;0;0;0;0
89;C;C;0;1;0;1;0;0;0;0;0;0;0;0;0
90;C;D;-750;1;-750;1;-750;-750;-750;-750;-750;-750;-750;-750;-750
91;D;B;0;1;0;1;0;0;0;0;0;0;0;0;0
92;D;DK_O;585;1;585;1;585;585;585;585;585;585;585;585;585
93;D;DK_W;150;2;-150;1;-150;150;-150;-150;-150;150;-150;-150;-150
94;D;F;-2500;1;-2500;1;-2500;-2500;-2500;-2500;-2500;-2500;-2500;-2500;-2500
95;D;N;3000;1;3000;1;3000;3000;3000;3000;3000;3000;3000;3000;3000
96;D;O;-2200;1;-2200;1;-2200;-2200;-2200;-2200;-2200;-2200;-2200;-2200;-2200
97;D;Z;1100;1;1100;1;1100;1100;1100;1100;1100;1100;1100;1100;1100
98;D;S;-1500;1;-1500;1;-1500;-1500;-1500;-1500;-1500;-1500;-1500;-1500;-1500
99;D;C;750;1;750;1;750;750;750;750;750;750;750;750;750
100;D;D;0;1;0;1;0;0;0;0;0;0;0;0;0
